Gene_set	Ontology	Term	n_term_genes_in_universe	candidate_hits	coef_in_term	se_in_term	z	P-value	Adjusted P-value
GO_Molecular_Function_2018	MF	carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)	6	3	3.71324769615039	0.8219286945289187	4.517724859671198	6.250763352699806e-06	0.0015376877847641524
GO_Molecular_Function_2018	MF	zinc ion binding (GO:0008270)	165	16	1.187136437886267	0.27190471197385274	4.366001711660024	1.265414879636495e-05	0.0015564603019528889
GO_Molecular_Function_2018	MF	metalloexopeptidase activity (GO:0008235)	29	5	1.992851750835539	0.4995054671733452	3.989649526986964	6.617099480243915e-05	0.004069516180350008
GO_Molecular_Function_2018	MF	metalloaminopeptidase activity (GO:0070006)	14	4	2.4179138558817055	0.6006866226554268	4.025250046676499	5.691480625524825e-05	0.004069516180350008
GO_Molecular_Function_2018	MF	transition metal ion binding (GO:0046914)	189	16	1.0388533126062507	0.27027309139675704	3.843717135277921	0.00012118467872568317	0.005962286193303612
GO_Molecular_Function_2018	MF	antiporter activity (GO:0015297)	13	3	2.398336129795513	0.6687440944967191	3.586328686162745	0.0003353662073717345	0.013750014502241115
GO_Biological_Process_2018	BP	organonitrogen compound catabolic process (GO:1901565)	22	5	2.23367192742272	0.5171831533531853	4.318918574475185	1.5679561361281458e-05	0.01600883214986837
GO_Cellular_Component_2018	CC	germinal vesicle (GO:0042585)	3	2	4.253851217668194	1.2330721368224713	3.449799156625199	0.0005610037619956376	0.04424520087113981
GO_Cellular_Component_2018	CC	female germ cell nucleus (GO:0001674)	5	2	3.1216361640611727	0.9177465705925358	3.4014141420825066	0.0006703818313809062	0.04424520087113981
